SEMESTRE,MAT_ALU,COD_DISC,NOTA,FALTAS,STATUS,
2,1,19,0,8,R,
6,2,8,10,10,R,
1,3,11,6,18,R,
8,4,21,4,0,R,
8,5,22,0,3,R,
2,6,24,2,13,R,
2,7,11,10,2,R,
8,8,16,6,3,R,
7,9,21,10,17,R,
4,10,13,0,10,R,
7,11,12,10,15,R,
1,12,13,7,15,R,
8,13,15,0,3,R,
1,14,21,8,4,R,
3,15,21,1,3,R,
3,16,3,10,2,R,
8,17,13,0,15,R,
5,18,12,5,13,R,
2,19,7,0,13,R,
3,20,20,2,19,R,
2,21,11,10,4,R,
5,22,17,4,17,R,
8,23,19,1,19,R,
1,24,15,6,0,R,
6,25,24,6,7,R,
1,26,5,7,0,R,
5,27,19,9,18,R,
7,28,19,8,0,R,
7,29,22,0,13,R,
2,30,17,5,1,R,
5,31,4,9,1,R,
4,32,3,8,2,R,
6,33,18,9,16,R,
6,34,7,2,15,R,
6,35,10,0,4,R,
2,36,23,3,15,R,
6,37,11,6,9,R,
3,38,20,6,12,R,
4,39,21,1,17,R,
2,40,16,4,16,R,
1,41,17,7,0,R,
3,42,19,6,15,R,
1,43,8,6,18,R,
7,44,7,4,20,R,
2,45,4,2,4,R,
6,46,19,7,10,R,
5,47,9,2,6,R,
2,48,16,4,7,R,
3,49,19,1,1,R,
3,50,15,0,4,R,
6,51,19,0,16,R,
7,52,2,10,12,R,
5,53,7,8,0,R,
2,54,1,5,19,R,
6,55,21,1,7,R,
5,56,14,10,1,R,
7,57,20,8,5,R,
5,58,6,6,18,R,
7,59,12,4,20,R,
7,60,18,1,3,R,
6,61,21,2,18,R,
1,62,21,9,10,R,
1,63,17,10,6,R,
5,64,8,6,6,R,
8,65,16,6,19,R,
6,66,1,2,3,R,
1,67,3,4,9,R,
2,68,12,5,0,R,
1,69,3,2,11,R,
6,70,3,5,11,R,
2,71,11,0,4,R,
4,72,4,1,2,R,
8,73,15,6,13,R,
3,74,19,5,1,R,
1,75,14,9,6,R,
2,76,15,8,11,R,
4,77,20,10,0,R,
5,78,23,3,10,R,
8,79,13,0,10,R,
6,80,11,9,11,R,
6,81,19,7,11,R,
2,82,9,8,11,R,
2,83,18,2,10,R,
6,84,21,5,18,R,
2,85,15,1,18,R,
8,86,17,7,4,R,
4,87,9,10,13,R,
3,88,4,9,7,R,
6,89,3,8,18,R,
7,90,1,10,9,R,
8,91,22,4,18,R,
7,92,22,2,20,R,
3,93,4,9,0,R,
6,94,14,9,5,R,
1,95,6,10,20,R,
1,96,20,0,19,R,
5,97,24,1,4,R,
1,98,9,3,13,R,
7,99,11,2,18,R,
4,100,14,10,4,R,
2,101,23,6,19,R,
8,102,18,9,11,R,
3,103,8,1,5,R,
5,104,20,8,5,R,
8,105,8,3,8,R,
2,106,15,9,16,R,
5,107,4,4,15,R,
1,108,11,3,8,R,
5,109,1,2,18,R,
5,110,13,9,11,R,
1,111,15,6,7,R,
1,112,19,6,14,R,
8,113,12,6,10,R,
7,114,13,1,15,R,
